,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
374,30,500,500,40,1,100,39.28,33.324999999999996,0.14091539883906432
375,30,1000,500,40,1,100,39.2,32.455,0.14010943582769225
376,50,300,500,40,1,100,35.8,34.385,0.07821967765723958
377,50,500,500,40,1,100,39.32,35.425000000000004,0.13046217925655781
378,50,1000,500,40,1,100,38.580000000000005,34.575,0.1317951244405575
379,10,300,500,50,1,50,30.92,21.865000000000002,0.11004115588480645
380,10,500,500,50,1,50,32.36,22.069999999999997,0.11386347799603944
381,10,1000,500,50,1,50,33.660000000000004,23.685000000000002,0.11921897732943063
382,30,300,500,50,1,50,30.44,25.644999999999996,0.1042925199449492
383,30,500,500,50,1,50,33.64,25.495,0.10740032989410266
384,30,1000,500,50,1,50,33.540000000000006,26.1,0.10668670439209643
385,50,300,500,50,1,50,28.64,27.490000000000002,0.10602785064924473
386,50,500,500,50,1,50,30.48,27.559999999999995,0.10779445666865745
387,50,1000,500,50,1,50,32.06,27.82,0.11214031434082769
388,10,300,500,50,1,75,34.0,24.73,0.1178697499014205
389,10,500,500,50,1,75,35.160000000000004,25.840000000000003,0.12424227578227288
390,10,1000,500,50,1,75,35.66,26.974999999999998,0.11971209595856169
391,30,300,500,50,1,75,34.44,28.785,0.10495176400001043
392,30,500,500,50,1,75,36.58,29.035,0.11538348239894054
393,30,1000,500,50,1,75,36.88,28.95,0.1160162618367779
394,50,300,500,50,1,75,33.42,30.419999999999998,0.10717356351920396
395,50,500,500,50,1,75,35.459999999999994,30.255,0.11162875716504145
396,50,1000,500,50,1,75,36.44,30.69,0.11138728330508506
397,10,300,500,50,1,100,35.24,26.915,0.1107260603205823
398,10,500,500,50,1,100,36.199999999999996,26.290000000000003,0.12184505672308539
