,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
329,10,300,500,50,4,75,29.799999999999997,19.43,0.11232679639653073
330,10,1000,500,50,4,75,31.5,20.975,0.11910614500132427
331,50,300,500,50,4,75,25.919999999999998,23.78,0.10380797805326278
332,50,1000,500,50,4,75,28.559999999999995,25.335,0.10859519527743582
333,10,300,500,50,4,100,30.64,21.005,0.1085135762670968
334,10,1000,500,50,4,100,32.74,22.040000000000003,0.12427345691377231
335,50,300,500,50,4,100,26.76,24.04,0.1024689455005323
336,50,1000,500,50,4,100,29.799999999999997,24.959999999999997,0.10799710379590012
337,10,300,500,50,5,75,27.080000000000005,18.645,0.09668240062707416
338,10,1000,500,50,5,75,29.700000000000003,20.305,0.11838571733275494
339,50,300,500,50,5,75,25.119999999999997,23.025000000000002,0.06703058781848863
340,50,1000,500,50,5,75,26.179999999999996,24.23,0.1060950049599368
341,10,300,500,50,5,100,28.500000000000004,18.905,0.058467515855412884
342,10,1000,500,50,5,100,30.92,21.515,0.12367555430965002
343,50,300,500,50,5,100,26.32,22.505000000000003,0.10198081504713556
344,50,1000,500,50,5,100,27.82,24.435,0.10951664691164953
345,10,300,500,50,8,75,28.04,18.529999999999998,0.0636932094403804
346,10,1000,500,50,8,75,29.900000000000006,19.955000000000002,0.11730426766323594
347,50,300,500,50,8,75,24.380000000000003,22.505000000000003,0.09992175914369822
348,50,1000,500,50,8,75,26.139999999999997,24.015,0.10728079672426798
349,10,300,500,50,8,100,27.52,18.990000000000002,0.10848086716114741
350,10,1000,500,50,8,100,29.28,19.89,0.11773388031102709
351,50,300,500,50,8,100,24.980000000000004,21.955,0.10429557639225898
352,50,1000,500,50,8,100,26.840000000000003,23.185,0.10347923077171832
353,10,300,500,50,10,75,27.22,17.8,0.07485825645098297
354,10,1000,500,50,10,75,28.799999999999997,18.93,0.11831597498031776
355,50,300,500,50,10,75,22.66,20.975,0.07653691227976712
356,50,1000,500,50,10,75,23.18,22.875,0.10375069884023706
357,10,300,500,50,10,100,27.200000000000003,18.165,0.09915969517047382
358,10,1000,500,50,10,100,29.799999999999997,19.245,0.11702908391832287
359,50,300,500,50,10,100,23.479999999999997,21.545,0.10066270927410355
360,50,1000,500,50,10,100,25.7,23.64,0.10666967034201408
361,10,300,750,10,2,75,47.81333333333333,38.873333333333335,0.297557920438408
362,10,1000,750,10,2,75,48.6,39.13333333333334,0.30163120863366355
363,50,300,750,10,2,75,48.16,42.88666666666667,0.27507575441832405
364,50,1000,750,10,2,75,48.38666666666667,42.99666666666667,0.2786752086204365
365,10,300,750,10,2,100,51.306666666666665,43.09333333333333,0.3076241763865235
366,10,1000,750,10,2,100,52.35999999999999,43.120000000000005,0.3186551922774559
367,50,300,750,10,2,100,51.21333333333333,46.04333333333333,0.30819058455865
368,50,1000,750,10,2,100,52.04,46.053333333333335,0.30673621049455674
369,10,300,750,10,4,75,44.800000000000004,34.013333333333335,0.32080353588630084
370,10,1000,750,10,4,75,48.08,36.09,0.32264897823569133
371,50,300,750,10,4,75,47.533333333333324,39.24666666666666,0.2958519394063342
372,50,1000,750,10,4,75,47.346666666666664,39.42666666666666,0.2957822830967466
373,10,300,750,10,4,100,49.88,37.14,0.2892911221574672
374,10,1000,750,10,4,100,52.38666666666667,39.32333333333333,0.30508327478235064
375,50,300,750,10,4,100,51.519999999999996,41.21,0.27316338881639557
376,50,1000,750,10,4,100,51.61333333333333,41.459999999999994,0.28180775379337863
377,10,300,750,10,5,75,47.093333333333334,34.973333333333336,0.2898892356419634
378,10,1000,750,10,5,75,47.266666666666666,35.78,0.3011141103018354
379,50,300,750,10,5,75,46.25333333333334,37.656666666666666,0.2775586158521483
380,50,1000,750,10,5,75,46.306666666666665,38.303333333333335,0.2863377871221696
381,10,300,750,10,5,100,46.93333333333333,35.833333333333336,0.29793564761928826
382,10,1000,750,10,5,100,49.22666666666666,38.403333333333336,0.3070593648703974
383,50,300,750,10,5,100,48.10666666666667,42.00333333333333,0.28307037232186133
384,50,1000,750,10,5,100,48.33333333333333,41.839999999999996,0.2868985797463239
385,10,300,750,10,8,75,43.946666666666665,31.366666666666664,0.2814560864712721
386,10,1000,750,10,8,75,45.08,32.07333333333333,0.29853947919664975
387,50,300,750,10,8,75,44.76,35.233333333333334,0.2781110407732714
388,50,1000,750,10,8,75,45.25333333333334,35.56,0.2853033374528281
389,10,300,750,10,8,100,47.57333333333334,33.96333333333333,0.2947439991388609
390,10,1000,750,10,8,100,48.373333333333335,35.86666666666666,0.29388853605349174
391,50,300,750,10,8,100,47.839999999999996,37.723333333333336,0.2850276386017482
392,50,1000,750,10,8,100,47.906666666666666,37.63999999999999,0.29077110193560657
393,10,300,750,10,10,75,44.053333333333335,28.233333333333334,0.29746214901556645
